topic,app,response_time,throughput,drop_rate
amazonecho,app14,0.4570748014178243,0.0018683355948193,0.0
amazonecho,app21,0.1259007123517066,0.0018683355948193,0.0
amazonecho,app3,0.4667914006081027,0.0018683355948193,0.0
bms,app12,0.5532366614801641,0.3135884113317728,0.0
bms,app1,0.5504264508574873,0.3135884113317728,0.0
bms,app21,0.1294760287660113,0.3135884113317728,0.0
bms,app2,0.5534770460955607,0.3135884113317728,0.0
energymanagement,app1,0.5568115779411822,0.0638988524543213,0.0
energymanagement,app24,0.1296105213734049,0.0638988524543213,0.0
energymanagement,app2,0.5606789800056673,0.0638988524543213,0.0
energymanagement,app3,0.5611702522606913,0.0638988524543213,0.0
firedetection,app1,0.6123588646704765,0.0032492723478664,0.0
firedetection,app22,0.1973541163360493,0.0032492723478664,0.0
firedetection,app23,0.1945051134870851,0.0032492723478664,0.0
firedetection,app25,0.1973541163360437,0.0032492723478664,0.0
intrusiondetection,app21,0.1312501225779167,0.9044491584532685,0.0
intrusiondetection,app2,0.5996933379059981,0.9044491584532685,0.0
intrusiondetection,app36,0.597862541635596,0.9044491584532685,0.0
intrusiondetection,app40,0.6001810539055342,0.9044491584532685,0.0
intrusiondetection,app41,0.5991460783291349,0.9044491584532685,0.0
occupancymanagement,app12,0.5780205721765771,0.0059631528545136,0.0
occupancymanagement,app21,0.1321189328356197,0.0059631528545136,0.0
occupancymanagement,app36,0.5956750488472338,0.0059631528545136,0.0
occupancymanagement,app37,0.5888654649884859,0.0059631528545136,0.0
printing,app11,0.5666135213849728,0.0111876386133458,0.0
printing,app12,0.5717237957257671,0.0111876386133458,0.0
printing,app13,0.5640583842144616,0.0111876386133458,0.0
printing,app2,0.5688996967480249,0.0111876386133458,0.0
printing,app4,0.5688996967479905,0.0111876386133458,0.0
smartthings,app11,0.5672085763284299,0.004041736044144,0.0
smartthings,app14,0.5862526390617391,0.004041736044144,0.0
smartthings,app1,0.5675819893234109,0.004041736044144,0.0
smartthings,app21,0.132182437422208,0.004041736044144,0.0
smartthings,app3,0.5787843791663151,0.004041736044144,0.0
videosurveillance,app26,0.1325072336555277,0.2679482737235488,0.0
videosurveillance,app2,0.6495058466358314,0.2679482737235488,0.0
videosurveillance,app36,0.6516611154504723,0.2679482737235488,0.0
videosurveillance,app37,0.651640542281898,0.2679482737235488,0.0
videosurveillance,app38,0.6469708816008668,0.2679482737235488,0.0
videosurveillance,app4,0.6500885754649479,0.2679482737235488,0.0
