topic,app,baseline,prioAN,prioRT,prioTS,prioVS,prioRTVS,prioRTVSTSAN,dropVS1,dropVS2,dropVS2AN2,dropVS2AN5
amazonecho,app14,0.43168412685608026,0.5944114386810317,0.4570748014178243,0.12631509502749125,0.6059734043628986,0.7363478111239578,0.46336104963930486,0.4766289550938926,0.46756250708647207,0.41218710452978274,0.35426611961738985
amazonecho,app21,0.4503139345482833,0.5639742499705918,0.1259007123517066,0.5506740693828273,0.6103440337333894,0.12582149533920625,0.12690620014398485,0.48899159245630536,0.468407815624091,0.42661018145265217,0.36708663243788525
amazonecho,app3,0.4419004730097972,0.14338764233803294,0.4667914006081027,0.5525971463058589,0.5911132645029569,0.729870078330635,0.9516553640158113,0.4992937902583329,0.46671719854890564,0.42830861416868127,0.3780518880702876
bms,app12,0.48199867133644547,0.6334393760867395,0.5532366614801641,0.12457626491989734,0.633727523929872,0.7994188870393376,0.4188113322536118,0.477336446801928,0.4761161169075413,0.46243303723539697,0.45464105515626
bms,app1,0.4828354154658165,0.1681196263959856,0.5504264508574873,0.5193400390859123,0.6326739475949494,0.7934736569248663,0.8980981912234534,0.48018524472890534,0.47634155581282395,0.46355511506706676,0.45465778442789856
bms,app21,0.48141820287073894,0.6338438327412176,0.12947602876601133,0.5222442777044192,0.6324271652100911,0.12971099813013007,0.12930984957276087,0.4808163286808512,0.47784167558985163,0.4614471935324966,0.45466589089177284
bms,app2,0.4812316388042711,0.16797931067427163,0.5534770460955607,0.5262853189243927,0.6377673700463523,0.7911204784339372,0.8943207186959876,0.4800585404002247,0.4774143251624957,0.4615307048080667,0.45579467050569744
energymanagement,app1,0.4827725204321838,0.2013025855878106,0.5568115779411822,0.49454243525898844,0.6366379861872594,0.8046483861640638,0.850976376347566,0.4787223995885717,0.4703779453309059,0.47905378312599906,0.45014711809079805
energymanagement,app24,0.4847435111473445,0.6598751862388308,0.12961052137340492,0.49245910192566666,0.6392250234791178,0.12994066350220512,0.12872931585458092,0.48387957184762287,0.46913185371125193,0.4626445723565759,0.45272624981197745
energymanagement,app2,0.4861347270895441,0.2015002606383686,0.5606789800056673,0.4981881262744507,0.6429129277036556,0.815635634879805,0.847890207001941,0.4790035107209462,0.47613700130646464,0.4675131435325649,0.4528194546113467
