topic,app,response_time,throughput,drop_rate
amazonecho,app14,0.7291522535464166,0.0019383575596343,0.0
amazonecho,app21,0.1240240484216997,0.0019383575596343,0.0
amazonecho,app3,0.7714861039650507,0.00173159941994,0.0
bms,app12,0.7412450054582227,0.3060723206701184,0.0
bms,app1,0.7540996029846126,0.2944716342564352,0.0
bms,app21,0.1293453074375096,0.3060723206701184,0.0
bms,app2,0.7619198951563892,0.2906306749648796,0.0
energymanagement,app1,0.6829459341011933,0.0601414952325248,0.0
energymanagement,app24,0.1298453555568509,0.0626256484785083,0.0
energymanagement,app2,0.698922958112594,0.0594206211458336,0.0
energymanagement,app3,0.6882611454901522,0.0598840402015636,0.0
firedetection,app1,0.965887177211126,0.0034672686768978,0.0
firedetection,app22,0.1898612100904189,0.0035448940950373,0.0
firedetection,app23,0.1904226924037657,0.0035448940950373,0.0
firedetection,app25,0.1926686216569353,0.0035448940950373,0.0
intrusiondetection,app21,0.1309012992395299,0.9095123562776152,0.0
intrusiondetection,app2,0.9691837510849756,0.8636854500459856,0.0
intrusiondetection,app36,0.3746644804564352,0.8917362562689956,0.0
intrusiondetection,app40,0.3730771674662375,0.8910446856911112,0.0
intrusiondetection,app41,0.3748963852173372,0.8890648982961205,0.0
occupancymanagement,app12,0.8459874832898641,0.005141082178082,0.0
occupancymanagement,app21,0.1285541628472071,0.005141082178082,0.0
occupancymanagement,app36,0.3290005045540391,0.0050119092590347,0.0
occupancymanagement,app37,0.3281632643217659,0.0050119092590347,0.0
printing,app11,0.7327784127188067,0.0125915012367405,0.0
printing,app12,0.7603071212286518,0.0125915012367405,0.0
printing,app13,0.7352953232111157,0.0125915012367405,0.0
printing,app2,0.7572744669121607,0.0116902690418818,0.0
printing,app4,0.7411915763334883,0.011745994890493,0.0
smartthings,app11,0.7884977916328387,0.0041094212806853,0.0
smartthings,app14,0.7846274481400045,0.0041094212806853,0.0
smartthings,app1,0.810662703930021,0.0039285033626677,0.0
smartthings,app21,0.1252176755260209,0.0041094212806853,0.0
smartthings,app3,0.7913451386059861,0.0039285033626677,0.0
videosurveillance,app26,0.131992447254123,0.2741947152814283,0.0
videosurveillance,app2,1.0248124914152363,0.2648465725260964,0.0
videosurveillance,app36,0.3785833957819846,0.2691195232913223,0.0
videosurveillance,app37,0.3798211047862352,0.2696311546499348,0.0
videosurveillance,app38,0.3796051391529284,0.26927045592005,0.0
videosurveillance,app4,1.0122063188198889,0.2652008133890881,0.0
