topic,app,response_time,throughput,drop_rate
amazonecho,app14,1.291570763773516,0.0019780618610664,0.0
amazonecho,app21,1.2832547554577085,0.0019780618610664,0.0
amazonecho,app27,1.3040447762474976,0.0019780618610664,0.0
amazonecho,app3,1.2771906673599267,0.0018978701639962,0.0
amazonecho,app5,1.2828986005719756,0.0019513312953764,0.0
bms,app12,1.3055467639762837,0.3091011366303801,0.00017075818077495042
bms,app1,1.280002509224566,0.3033866974831063,0.0001338927508414446
bms,app21,1.304778904351128,0.3106666885076164,0.0001158612228745698
bms,app27,1.3050046972961185,0.3091019302778298,0.0006239863138749788
bms,app2,1.2960986956096483,0.3008086640190672,0.0002561372711624256
energymanagement,app12,1.4207313079772328,0.0640392457745033,0.0
energymanagement,app1,1.402240301781858,0.0632088342546493,0.0
energymanagement,app24,1.4061327820827296,0.0635961869037678,0.0
energymanagement,app27,1.4093248145505397,0.0639273312194982,0.0
energymanagement,app2,1.400018127245576,0.0627226716464567,0.0
energymanagement,app3,1.4033651721675482,0.0634779641313657,0.0
energymanagement,app4,1.41575017025061,0.0638899773448453,0.0
energymanagement,app5,1.4067609198865798,0.0623086664111896,0.0
energymanagement,app6,1.412146790817013,0.063329401819863,0.0
firedetection,app1,1.269247242059667,0.0039076781276378,0.0
firedetection,app22,1.3149424873192972,0.0040118828777081,0.0
firedetection,app23,1.2904669628438028,0.0040118828777081,0.0
firedetection,app25,1.3351795025874211,0.0040379340652257,0.0
firedetection,app27,1.3490752842251474,0.0040379340652257,0.0
firedetection,app29,1.348579006309716,0.0040379340652257,0.0
intrusiondetection,app21,1.3534182178553138,0.9065744042856724,0.0006885846953681123
intrusiondetection,app24,1.3755592912427923,0.9120893872629636,0.0007397824565468307
intrusiondetection,app2,1.3563879629723077,0.8907221326136614,0.0004467991962419995
intrusiondetection,app36,1.3574126049951591,0.8877253860755552,0.0006610413075533879
intrusiondetection,app40,1.3576805285712952,0.8881388235313371,0.0006610413075533879
intrusiondetection,app41,1.3604121438571517,0.8904551116096702,0.0006327752694917038
intrusiondetection,app6,1.3452210870146246,0.893314628519513,0.0005508677562944898
occupancymanagement,app12,1.4977413031529636,0.0046936624147694,0.0
occupancymanagement,app21,1.469692004385755,0.0046936624147694,0.0
occupancymanagement,app42,1.4431298689598318,0.0045121395589496,0.0
occupancymanagement,app43,1.4953109334497428,0.0046158669051324,0.0
occupancymanagement,app44,1.5025997837529124,0.004641798741678,0.0
occupancymanagement,app5,1.4833372667884617,0.0046158669051324,0.0
printing,app11,1.4552485924343177,0.0117935614040533,0.0
printing,app12,1.4589761424172856,0.0117935614040533,0.0
printing,app13,1.4718531332679878,0.0117935614040533,0.0
printing,app14,1.4764278537015352,0.0117935614040533,0.0
printing,app15,1.4765972877917832,0.0117935614040533,0.0
printing,app16,1.4789693650536442,0.0117935614040533,0.0
printing,app2,1.48504830524,0.0114818373140783,0.0
printing,app4,1.477396068088473,0.0116117223515679,0.0
printing,app5,1.4642819765863515,0.0115337913290742,0.0
smartthings,app11,1.411581514720031,0.0039578788236367,0.0
smartthings,app14,1.4201285232670489,0.0039578788236367,0.0
smartthings,app1,1.4767048656346846,0.0039320103345933,0.0
smartthings,app21,1.4261617057707854,0.0039578788236367,0.0
smartthings,app28,1.4236478797276704,0.0039578788236367,0.0
smartthings,app3,1.395881339134618,0.0038544048674632,0.0
videosurveillance,app26,1.3840463468248376,0.2711021767088994,0.00022762635641023008
videosurveillance,app2,1.36907880200268,0.2657925525840525,0.00012120783417939018
videosurveillance,app36,1.3647589199373478,0.2674033146424609,0.0002382966703015729
videosurveillance,app37,1.3903479857062473,0.2659349719309979,0.00021130869760838784
videosurveillance,app38,1.3805793999677018,0.2657024419676557,0.00013390612837710437
videosurveillance,app39,1.3713842621451384,0.2656869833097092,0.00020850958651387624
videosurveillance,app4,1.3943193297937384,0.2656588745832222,9.493980806801464e-05
