topic,app,baseline,prioAN,prioRT,prioTS,prioVS,prioRTVS,prioRTVSTSAN,dropVS1,dropVS2,dropVS2AN2,dropVS2AN5
amazonecho,app14,1.6944552405297064,1.7724176857508422,1.8235297840214921,0.12148758848386672,1.9977390739527432,3.249343076609592,1.0466143766288452,1.0831468933042547,1.3190203818250075,1.291570763773516,1.3357620842044577
amazonecho,app21,1.7214282675025532,1.7995032762165888,0.16199132248724918,1.4676414346221462,1.9777002892083695,0.17334678377579232,0.17385555650753998,1.1153813255380425,1.3561556603395055,1.2832547554577085,1.350606888522864
amazonecho,app27,1.6854642315386668,1.821171748589159,0.18921025739836855,1.493282460263169,1.9880428877858614,0.16871286347932996,0.18137435349994585,1.190490209897893,1.305757782355545,1.3040447762474976,1.3452087778616026
amazonecho,app3,1.6994502455244325,0.1884523553184325,1.822346352068843,1.4703886873695853,1.9511973803526017,3.3225590172943495,3.6689394199873178,1.1285681387249757,1.3340513278906514,1.2771906673599267,1.3652302313678104
amazonecho,app5,1.7064432525177016,0.1743678482763451,1.8247132159740642,1.47313594011676,1.9557222672303576,3.2549037809655768,3.6625773609934407,1.0919381020952814,1.3243254216127496,1.2828986005719756,1.3507241793420741
bms,app12,1.276412358626958,1.8698063405691052,1.8423507817528249,0.12178002949799699,1.78341308720489,2.673021733888409,0.9060748357347383,1.2910258035988604,1.336476068361498,1.3055467639762837,1.2323486015824814
bms,app1,1.2727827027540857,0.18841054306289823,1.8401650007126997,1.4169876496682752,1.7866250143910831,2.6696252675980383,3.107738312720716,1.2897826324139372,1.3364329056053033,1.280002509224566,1.2438144047379875
bms,app21,1.2780662785544894,1.8767356503031398,0.17563491015331165,1.4039643824512014,1.8031209513552153,0.1767654932463364,0.17768485563817568,1.2917931852556797,1.3381022786794177,1.304778904351128,1.2299170187422799
bms,app27,1.2823203583698555,1.8776421619727466,0.1766224604539593,1.4055676638905257,1.8016114869114774,0.17708018156698718,0.1779706382449872,1.2919688509361518,1.3390137775762927,1.3050046972961185,1.228426966807972
bms,app2,1.276861021022409,0.18891408840601076,1.8389473688131985,1.405357054833783,1.8070598984884039,2.6745896990050397,3.126394083207087,1.293046315845863,1.3390073450035107,1.2960986956096483,1.2523424418913414
energymanagement,app12,1.4311114326960452,2.253662161650764,2.016723036925519,0.12266263523603765,1.9874211687712242,2.926895180369804,0.9386935764482562,1.4111618893750377,1.465434524661243,1.4207313079772328,1.3480304753739893
energymanagement,app1,1.4289459553430937,0.33834667366308846,2.017032960684196,1.5693526744078894,1.9858086582850247,2.919827872677632,3.466958524036965,1.4143902847696521,1.4343953680904238,1.402240301781858,1.334887828040941
energymanagement,app24,1.4287193561478386,2.2602318337047804,0.17899731595869703,1.5576836727911225,1.9872747887041244,0.178535388753757,0.17991169780369548,1.4098704321174653,1.4684289708179543,1.4061327820827296,1.342873219727129
energymanagement,app27,1.4298155830146422,2.2529301100158725,0.17793567657539314,1.571740971612534,1.9815196545301474,0.1816659147537975,0.18055189632357843,1.4146781244250615,1.4273349487390992,1.4093248145505397,1.3524811197209545
energymanagement,app2,1.4300220835450674,0.34014494288304226,2.0111516472379525,1.5760412033420976,1.988757151033257,2.9038663342158806,3.4665894267260002,1.414698156476341,1.424497342735478,1.400018127245576,1.348204551796461
energymanagement,app3,1.420419926068338,0.3391297325532349,2.0162271589114527,1.564326207878595,2.0023793790329707,2.987953491289447,3.472463407176642,1.4162135156989248,1.4306312239481835,1.4033651721675482,1.3550374936438327
energymanagement,app4,1.4298781675920802,0.33910390916631744,2.0034902776113737,1.5585867208000779,1.9908472450599917,2.993460037336444,3.4538307467583467,1.4147320823819594,1.4576487238305549,1.41575017025061,1.3435916335692304
energymanagement,app5,1.417897164497952,0.3394298544075977,2.018245412164699,1.5704760476220498,2.0034851595517797,2.977834531263061,3.464901342635448,1.424972107684215,1.4308110207776967,1.4067609198865798,1.3517167490714435
energymanagement,app6,1.4173363930406322,0.3425511981041295,2.0161104273780683,1.569591446636246,1.9925541403903018,2.912464551414689,3.4595185747813084,1.4139905578462044,1.4159478161989267,1.412146790817013,1.3458056324598677
firedetection,app1,1.3593885971305912,0.15201402857283924,2.082215194623569,1.5350241927130108,1.8722913890831878,2.9916555129593503,3.1027969099697783,1.2947047562731595,1.2728832475716512,1.269247242059667,1.3657719072387413
firedetection,app22,1.337410575152638,1.9050229244300556,0.28964225033516144,1.5258458710347609,1.8695563463483484,0.2916555129732547,0.285399354279027,1.2986773095414494,1.238586334294068,1.3149424873192972,1.3722623048481122
firedetection,app23,1.3697992391198992,1.9160119354189924,0.28062368269596666,1.5581885283770354,1.8469922437842388,0.2805978206657488,0.28791552969232104,1.3037332864283597,1.2777828066113806,1.2904669628438028,1.384408053835957
firedetection,app25,1.3588102281311865,1.933803667496565,0.27637965086582245,1.5625591577475921,1.8613512181428677,0.277713205281046,0.2893533442142305,1.3189012170892127,1.2758229829954137,1.3351795025874211,1.371756231973823
