"topic","app","user_simulation","user_simulation","user_simulation","user_simulation","user_simulation","user_simulation","user_simulation"
"topic6","app11","0.6314728082208437","0.8758759481062952","0.6822841124985454","0.35921689592214534","0.0","0.5488802909623587","0.5809060536912398"
"topic2","app1","1.0025073271318419","1.0065592200897757","1.0288025191137327","0.9894258743977891","1.002827450601529","0.9985573186635737","1.0159475759889516"
"topic24","app14","0.7050889524221619","0.6920956647650206","0.6957466700899555","0.6952993273866828","0.6835773366387218","0.6831009475084713","0.6784418778247959"
"topic24","app15","0.7065591179248703","0.698497819575922","0.7002441624149331","0.6898865971686843","0.6816555663395415","0.6856254885305104","0.6812664230759933"
"topic11","app15","0.7864718204730446","0.8063264362139805","0.8041966155387397","0.7927496444593436","0.7897836086052737","0.8005830456499913","0.785830525626291"
"topic8","app6","0.6749045545585016","0.696684326094212","0.6899490045496547","0.6889995408073203","0.6780994473852723","0.7038963936562755","0.6931636384478898"
"topic11","app12","0.7888558208938107","0.8076992017487727","0.8165955147632334","0.7675189516811852","0.7879977356759245","0.8028810868165258","0.7862689586812196"
"topic3","app3","0.0","0.6883987352648546","0.0","0.9207018442593835","0.8611343732445675","0.7552964646301916","0.0"
"topic9","app7","0.7400720213606763","0.7574041796017952","0.8166618866039433","0.8490695772391489","0.8078407689426212","0.7779806667046597","0.7976983367018241"
"topic3","app2","0.0","0.9057900396128389","0.0","0.8120061920863009","0.8611343732463865","0.7552964646292821","0.0"
"topic17","app10","0.7834352355230667","0.777002967656627","0.8163536648978329","0.798789995201557","0.7942152072243923","0.800593938164368","0.7840062892893895"
"topic9","app8","0.7468665346316061","0.7289604575375735","0.8166618866038868","0.809543885539516","0.783322952662775","0.7758953784134455","0.8091237319588788"
"topic14","app16","0.9054382327229458","0.894697282163357","0.8836653617462247","0.9010832422451843","0.9007770364886196","0.9233845023596395","0.9113625569247452"
"topic14","app1","0.9063944096077663","0.9250901193486614","0.8867781561579433","0.9036945492042291","0.8991933912253326","0.9006474734609504","0.9070349533852823"
"topic14","app13","0.8934350318691385","0.905359229139423","0.8727075737759435","0.9134869503010845","0.88162134138799","0.9131082673763563","0.9105394168099203"
"topic2","app7","1.001960433671665","1.0026852949366716","1.0215081362601823","1.006102258724086","1.0133665520889912","1.021262882318785","1.0194399972690003"
"topic10","app9","0.6754554228065132","0.6391934018059372","0.6887213892140447","0.6919920698564272","0.696992492106024","0.6530110042212154","0.709059221562646"
"topic2","app9","1.002384921831345","1.0112580425535576","1.0196884423211063","1.0125820191499504","1.0083465565529297","0.9974427241915783","1.0095243653514308"
