"topic","app","alias","alias","alias","alias","alias","alias","alias","alias","alias"
"topic6","app11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"topic2","app1","0.8197014269811099","0.7005478758837583","0.6220397763155687","0.8827060801887378","0.48396431873970924","0.4438673286491034","0.4064174703889617","0.3412073395876057","0.34584411966460904"
"topic24","app14","0.543081336110558","0.4452880996209969","0.3801796770106421","0.5801919128624765","0.2841216289165495","0.2612989189350467","0.23564383452525683","0.19630582950542344","0.19448672666174466"
"topic24","app15","0.5442120341162748","0.4444458610958551","0.3785934984596602","0.5802731249414348","0.2849833446669659","0.2584189491853123","0.23602465338665665","0.1960818296446078","0.19259219326318028"
"topic11","app15","0.6375332171069409","0.5271925953930393","0.46189837835169456","0.680296572812251","0.35640901760329147","0.316989151995316","0.2893556351161344","0.24390088246810923","0.24674420000164268"
"topic8","app6","0.5393849122544385","0.446309876313998","0.3742150053731549","0.5694157706292537","0.2805839485558881","0.26380140601197793","0.23726978844452304","0.1965938528564045","0.19502127803028668"
"topic11","app12","0.6393232482472734","0.5333028328602922","0.45278450775965373","0.6780062468379837","0.3565230132640115","0.32144866647300285","0.2864967202044334","0.24812848804497956","0.24539035188080974"
"topic3","app3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"topic9","app7","0.6324780607607615","0.526455518372298","0.4586958399503876","0.7054745021933286","0.35181823212127106","0.3201101656738889","0.2910340328484483","0.24614665295138266","0.2473794320424871"
"topic3","app2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"topic17","app10","0.6362917730661323","0.5305008441258688","0.4530334539838855","0.6724585011277993","0.3522781054046047","0.3207332453830518","0.2904838140917414","0.24703863096896866","0.24646355251596871"
"topic9","app8","0.6315471036763104","0.5248957436965331","0.45936673539295414","0.6936711169809787","0.35565808891130063","0.3184568769669664","0.29145235525665214","0.24618228752632246","0.24683799290300157"
"topic14","app16","0.7315089714726853","0.6190965817230945","0.5305684726863791","0.7581589331782339","0.424701126246957","0.37678305143082297","0.3469162784998547","0.297118993761798","0.29944276500840455"
"topic14","app1","0.7352484732983738","0.6147083022352636","0.5325445670580926","0.7584913529203015","0.41968132483869486","0.385282077192487","0.34273556293904617","0.2993494805749449","0.2973007119251819"
"topic14","app13","0.7321984077919979","0.6128160284697799","0.517226604290608","0.7573735649637493","0.41932023852583955","0.38485642560562017","0.34749199031133865","0.297240952361357","0.2967644998769856"
