topic,app,response_time,throughput,drop_rate
topic10,app11,0.6822538685560012,0.0037835718395397,0.0
topic10,app9,0.6794522797740044,0.0037835718395397,0.0
topic11,app12,0.7925647821136036,0.1173470714901888,0.0
topic11,app15,0.7937176391555769,0.1151583146757326,0.0
topic11,app8,0.7946626183860532,0.1173470714901888,0.0
topic12,app10,0.8054996027349317,0.003063717951166,0.0
topic12,app2,0.8010375057227378,0.003063717951166,0.0
topic12,app9,0.7914406238530036,0.003063717951166,0.0
topic13,app10,0.79321313944428,0.0354087693443698,0.0
topic13,app11,0.7904895856387291,0.0354087693443698,0.0
topic13,app12,0.7960654046709484,0.0354087693443698,0.0
topic14,app13,0.9029254662581075,0.01567730452485,0.0
topic14,app16,0.899910312758387,0.0156741574486821,0.0
topic14,app1,0.8961510401980148,0.0159708129008916,0.0
topic14,app5,0.8952157858641289,0.0159708129008916,0.0
topic15,app15,0.6735332010780287,0.0231147186845731,0.0
topic15,app6,0.6728958721626592,0.0235714933252443,0.0
topic16,app16,0.791320249840252,0.0283719510785408,0.0
topic16,app3,0.789640446596826,0.0290409776029173,0.0
topic16,app4,0.7880301973070053,0.0290409776029173,0.0
topic17,app10,0.786439523872554,0.0252432414955929,0.0
topic17,app16,0.7892046155285951,0.02479363144543,0.0
topic17,app7,0.7786376549433108,0.0252432414955929,0.0
topic18,app10,0.0,7.346280492374019e-05,0.0
topic18,app12,0.0,7.346280492374019e-05,0.0
topic19,app13,0.7861821298705064,0.0655962821677641,0.0
topic19,app2,0.7843885704056871,0.0666976426196004,0.0
topic19,app5,0.7867794340593752,0.0666976426196004,0.0
topic1,app1,0.9104836568138408,0.0010689680842398,0.0
topic1,app3,0.8983162330629207,0.0010689680842398,0.0
topic1,app5,0.9088613336466256,0.0010689680842398,0.0
topic1,app7,0.8918269403957693,0.0010689680842398,0.0
topic20,app14,0.6829488556127637,0.0226489651844774,0.0
topic20,app6,0.6773824274929896,0.0231636456456041,0.0
topic21,app1,0.8066236958349746,0.0009703937233615,0.0
topic21,app4,0.8182298024333104,0.0009703937233615,0.0
topic21,app8,0.8151050814258822,0.0009703937233615,0.0
topic22,app2,0.7949707844172031,0.0120741971678785,0.0
topic22,app5,0.7912393323876772,0.0120741971678785,0.0
topic22,app9,0.8060071914259984,0.0120741971678785,0.0
topic23,app13,0.6785865653153859,0.0393035230402993,0.0
topic23,app3,0.6744317067908367,0.040207872654393,0.0
topic24,app14,0.6812604019443355,0.143422870301475,0.0
topic24,app15,0.6829995258797564,0.1436677407437714,0.0
topic25,app16,0.6851760672389469,0.0388349340485206,0.0
topic25,app7,0.6825118150043953,0.0397656534545529,0.0
topic26,app11,0.7812481703440725,0.0185035126339729,0.0
topic26,app1,0.785167091161328,0.0185035126339729,0.0
topic26,app6,0.7913656639146491,0.0185035126339729,0.0
topic27,app3,0.0,0.0001959660506094,0.0
topic27,app4,0.0,0.0001959660506094,0.0
topic28,app14,0.6810526760355048,0.0762661684222237,0.0
topic28,app8,0.6824040714024374,0.0781350602383999,0.0
topic29,app11,0.7392966414918192,0.0001147415363102,0.0
topic29,app9,0.7278549938938548,0.0001147415363102,0.0
topic2,app13,1.0140009922827296,0.0568916424651272,0.0
topic2,app15,1.007532705868761,0.0570890659913848,0.0
topic2,app1,1.006474612300856,0.0579191929490741,0.0
topic2,app7,1.0029258158582626,0.0579191929490741,0.0
topic2,app9,0.9971949091405156,0.0579191929490741,0.0
topic30,app15,0.7848084730005194,0.0422891801003489,0.0
topic30,app16,0.7824432527651433,0.0422672408992541,0.0
topic30,app7,0.7821525771317399,0.0431525044545959,0.0
topic3,app2,0.0,0.00011669629442,0.0
topic3,app3,0.0,0.00011669629442,0.0
topic4,app13,0.682162106089123,0.0515164591501601,0.0
topic4,app3,0.6753342849348206,0.0526038613156957,0.0
topic5,app14,0.7927304338161104,0.0353932996207511,0.0
topic5,app4,0.7883048262826751,0.0362836251995004,0.0
topic5,app6,0.788708609967125,0.0362836251995004,0.0
topic6,app11,0.6499001039587408,8.969941668142492e-05,0.0
topic6,app4,0.645069186086443,8.969941668142492e-05,0.0
topic7,app12,0.796062177342569,0.0059243634385187,0.0
topic7,app5,0.7945833249323585,0.0059243634385187,0.0
topic7,app8,0.7862278088128581,0.0059243634385187,0.0
topic8,app14,0.6827530353369965,0.0504819279175627,0.0
topic8,app6,0.6832521778811669,0.0514161982353087,0.0
topic9,app2,0.7741080396772759,0.0039775590419811,0.0
topic9,app7,0.7672608750179506,0.0039775590419811,0.0
topic9,app8,0.7666074578639155,0.0039775590419811,0.0
