topic,app,response_time,throughput,drop_rate
topic10,app11,0.3982387915960634,0.0037751691396218,0.0
topic10,app9,0.3971682170376079,0.0037751691396218,0.0
topic11,app12,0.3573307972833364,0.1167799131492408,0.0
topic11,app15,0.9286157811872252,0.1167799131492408,0.0
topic11,app8,0.9277251675920756,0.1167799131492408,0.0
topic12,app10,0.4310544630798782,0.0030993706816984,0.0
topic12,app2,1.0248431346054376,0.0030993706816984,0.0
topic12,app9,0.4298239607846062,0.0030993706816984,0.0
topic13,app10,0.5086555466012144,0.0358997581678952,0.0
topic13,app11,0.5084190187465282,0.0358997581678952,0.0
topic13,app12,0.5055076999826907,0.0358997581678952,0.0
topic14,app13,0.961921058337242,0.0156856479920366,0.0
topic14,app16,0.9599751837603476,0.0156856479920366,0.0
topic14,app1,0.9553093178451996,0.0156856479920366,0.0
topic14,app5,0.962932531767312,0.0156856479920366,0.0
topic15,app15,0.7349866553975629,0.023452027329614,0.0
topic15,app6,0.7324770697660778,0.023452027329614,0.0
topic16,app16,0.8429982166200872,0.0295337908146649,0.0
topic16,app3,0.8406421992527813,0.0295337908146649,0.0
topic16,app4,0.8387490272327228,0.0295337908146649,0.0
topic17,app10,0.3573337980647946,0.0253752042114468,0.0
topic17,app16,0.9270943995550384,0.0253752042114468,0.0
topic17,app7,0.9266420156613978,0.0253752042114468,0.0
topic18,app10,0.0,9.864977337539953e-05,0.0
topic18,app12,0.0,9.864977337539953e-05,0.0
topic19,app13,0.8425998242360165,0.0666377052990449,0.0
topic19,app2,0.8449618787990022,0.0666377052990449,0.0
topic19,app5,0.847046076926161,0.0666377052990449,0.0
topic1,app1,0.9850091266296572,0.0010022770097561,0.0
topic1,app3,0.9847633749500112,0.0010022770097561,0.0
topic1,app5,0.9912171882264034,0.0010022770097561,0.0
topic1,app7,0.9859284065416204,0.0010022770097561,0.0
topic20,app14,0.7195857985674415,0.0235751572909596,0.0
topic20,app6,0.7242379625277212,0.0235751572909596,0.0
topic21,app1,0.8485682498921279,0.0010345482579223,0.0
topic21,app4,0.8547715131778642,0.0010345482579223,0.0
topic21,app8,0.839590510448852,0.0010345482579223,0.0
topic22,app2,0.9191411913478128,0.0119880487082937,0.0
topic22,app5,0.9223240617176244,0.0119880487082937,0.0
topic22,app9,0.3579799139291953,0.0119880487082937,0.0
topic23,app13,0.7300662184279517,0.0409636030246199,0.0
topic23,app3,0.7306686644905536,0.0409636030246199,0.0
topic24,app14,0.7280494765241287,0.1455237364115352,0.0
topic24,app15,0.7291032783666813,0.1455237364115352,0.0
topic25,app16,0.7265530224365073,0.0391289434685602,0.0
topic25,app7,0.7265703437843041,0.0391289434685602,0.0
topic26,app11,0.3570737637506325,0.0177765037892453,0.0
topic26,app1,0.9175941965423452,0.0177765037892453,0.0
topic26,app6,0.9151175631212782,0.0177765037892453,0.0
topic27,app3,0.0,0.0,0.0
topic27,app4,0.0,0.0,0.0
topic28,app14,0.723333187590001,0.0778623783437245,0.0
topic28,app8,0.7266018010445501,0.0778623783437245,0.0
topic29,app11,0.0,0.0001273795251426,0.0
topic29,app9,0.0,0.0001273795251426,0.0
topic2,app13,1.1770264675235131,0.0583117515171778,0.0
topic2,app15,1.1784265864722183,0.0583117515171778,0.0
topic2,app1,1.1833522219355836,0.0583117515171778,0.0
topic2,app7,1.183325007578037,0.0583117515171778,0.0
topic2,app9,0.3720088007805358,0.0583117515171778,0.0
topic30,app15,0.849545131642872,0.0428735063771899,0.0
topic30,app16,0.8510399333578336,0.0428735063771899,0.0
topic30,app7,0.8496000712424381,0.0428735063771899,0.0
topic3,app2,0.0,8.258501494628245e-05,0.0
topic3,app3,0.0,8.258501494628245e-05,0.0
topic4,app13,0.7305686408833232,0.0526873029612284,0.0
topic4,app3,0.7309123474545495,0.0526873029612284,0.0
topic5,app14,0.8455842333945531,0.0362024117710807,0.0
topic5,app4,0.844300769023069,0.0362024117710807,0.0
topic5,app6,0.8468701417795566,0.0362024117710807,0.0
topic6,app11,0.0,9.567635600311238e-05,0.0
topic6,app4,0.0,9.567635600311238e-05,0.0
topic7,app12,0.3585212222875446,0.0058024651954292,0.0
topic7,app5,0.9254554079820798,0.0058024651954292,0.0
topic7,app8,0.9233422058607051,0.0058024651954292,0.0
topic8,app14,0.7305750144148377,0.0514305798584404,0.0
topic8,app6,0.7303169121864429,0.0514305798584404,0.0
topic9,app2,0.8366741404271765,0.0039128134772142,0.0
topic9,app7,0.8522033679208503,0.0039128134772142,0.0
topic9,app8,0.8494295438635415,0.0039128134772142,0.0
