topic,app,response_time,throughput,drop_rate
amazonecho,app21,0.1255900167202884,0.0021547934929062,0.0
bms,app21,0.1671052696706057,0.3041163769808476,0.0
bms,app2,0.1681942197384893,0.2985901834616726,0.0
energymanagement,app1,0.1649859848600183,0.0642173212191311,0.0
energymanagement,app2,0.1646580045344746,0.0639879913181106,0.0
firedetection,app1,0.2102702613003676,0.0036300405153624,0.0
firedetection,app22,0.2002474841351971,0.0037514465526655,0.0
firedetection,app23,0.209209396009603,0.0037514465526655,0.0
intrusiondetection,app21,0.2039912073715289,0.9085440545848336,0.0
intrusiondetection,app2,0.2050245425298252,0.8854846120023933,0.0
intrusiondetection,app36,0.2049121705302858,0.8866966963457046,0.0
occupancymanagement,app12,0.165836509285923,0.0056589034691332,0.0
occupancymanagement,app21,0.1641786843522847,0.0056589034691332,0.0
printing,app11,0.1711090878143517,0.011583964438135,0.0
printing,app2,0.1738407701178612,0.0113898875470249,0.0
smartthings,app1,0.1725564286933243,0.0037636018254945,0.0
smartthings,app22,0.1732026410469946,0.0038488614137743,0.0
videosurveillance,app2,0.205948170282485,0.2689418692771307,0.0
videosurveillance,app36,0.2066748340747671,0.2680771645432807,0.0
videosurveillance,app38,0.203936290996418,0.2668589252055099,0.0
