topic,app,response_time,throughput,drop_rate
amazonecho,app21,0.0942124904749724,0.0020181461141898,0.0
bms,app21,0.1201461431206025,0.3036651429917181,0.0
bms,app2,0.2111240755872631,0.3036651429917181,0.0
energymanagement,app1,0.1943191146762577,0.0633290673734558,0.0
energymanagement,app2,0.1961693244053369,0.0633290673734558,0.0
firedetection,app1,0.2995201643485798,0.0034588542891614,0.0
firedetection,app22,0.1495308778707813,0.0034588542891614,0.0
firedetection,app23,0.1523163931911118,0.0034588542891614,0.0
intrusiondetection,app21,0.1279374537733057,0.9015444501006258,0.0
intrusiondetection,app2,0.2960321091303749,0.9015444501006258,0.0
intrusiondetection,app36,0.1934609577862735,0.9015444501006258,0.0
occupancymanagement,app12,0.1785496658035007,0.0052669417444798,0.0
occupancymanagement,app21,0.121068685246214,0.0052669417444798,0.0
printing,app11,0.1520049134852691,0.0121116076148854,0.0
printing,app2,0.2125275253198932,0.0121116076148854,0.0
smartthings,app1,0.2150866836077806,0.0040202828325708,0.0
smartthings,app22,0.1173187441143397,0.0040202828325708,0.0
videosurveillance,app2,0.2926564186803873,0.270731861423842,0.0
videosurveillance,app36,0.1718703080443124,0.270731861423842,0.0
videosurveillance,app38,0.1702187496936768,0.270731861423842,0.0
