topic,app,response_time,throughput,drop_rate
amazonecho,app21,0.1198709023660198,0.0019812796887707,0.0
bms,app21,0.169728096680524,0.3082242622501258,0.0
bms,app2,0.1698745250802179,0.3082242622501258,0.0
energymanagement,app1,0.1685543037564013,0.0623667613905254,0.0
energymanagement,app2,0.1699925480457668,0.0623667613905254,0.0
firedetection,app1,0.2233234009242022,0.0035072328817835,0.0
firedetection,app22,0.20452640844323,0.0035072328817835,0.0
firedetection,app23,0.2100209139376513,0.0035072328817835,0.0
intrusiondetection,app21,0.2067155129302906,0.9124279618834976,0.0
intrusiondetection,app2,0.2063919074015171,0.9124279618834976,0.0
intrusiondetection,app36,0.2069721381714163,0.8952302789680615,0.0
occupancymanagement,app12,0.1722966934185801,0.0051588709543912,0.0
occupancymanagement,app21,0.1691569759931813,0.0051588709543912,0.0
printing,app11,0.1732944498822343,0.0121669349634513,0.0
printing,app2,0.1720470486348561,0.0121669349634513,0.0
smartthings,app1,0.1732409518534295,0.0043080854982001,0.0
smartthings,app22,0.1694886066377506,0.0043080854982001,0.0
videosurveillance,app2,0.2052812148937055,0.2689229136977754,0.0
videosurveillance,app36,0.2045375629224272,0.2660384228206853,0.0
videosurveillance,app38,0.2063913334875743,0.2655890724693167,0.0
