topic,app,response_time,throughput,drop_rate
amazonecho,app21,0.3086662992136683,0.0018630817638548,0.0
bms,app21,0.3240555766574758,0.308296681846758,0.0
bms,app2,0.2945749359595865,0.308296681846758,0.0
energymanagement,app1,0.2939165130380323,0.0635871670718923,0.0
energymanagement,app2,0.2922209825709081,0.0635871670718923,0.0
firedetection,app1,0.3017518800252898,0.0037049003929095,0.0
firedetection,app22,0.3294477034032065,0.0037049003929095,0.0
firedetection,app23,0.3350815788114386,0.0037049003929095,0.0
intrusiondetection,app21,0.33739433138596,0.9112385341516724,0.0
intrusiondetection,app2,0.3054933986597546,0.9112385341516724,0.0
intrusiondetection,app36,0.319956788042062,0.9112385341516724,0.0
occupancymanagement,app12,0.485590957974977,0.0057682840216223,0.0
occupancymanagement,app21,0.3227493366546625,0.0057682840216223,0.0
printing,app11,0.4902157267079279,0.0118394712016743,0.0
printing,app2,0.2958398125964796,0.0118394712016743,0.0
smartthings,app1,0.2841413641402651,0.0037526589546499,0.0
smartthings,app22,0.3175551826937555,0.0037526589546499,0.0
videosurveillance,app2,0.3061856680296014,0.2721242066844226,0.0
videosurveillance,app36,0.3185289582133696,0.2721242066844226,0.0
videosurveillance,app38,0.319186959537674,0.2721242066844226,0.0
