topic,app,baseline,prioEM,prioEM0RT1,prioEMRT,prioEMRTVS,prioEMRTVSTSAN,dropVS15AN15,dropVS15AN15RT15,dropVS20AN20,dropVS20AN20RT10
bms,app108,17.610764709012848,2.161372161686832,2.159210120247489,2.3870096027963377,2.277318113063523,2.2057410204485057,18.360497068523355,18.729196206126012,18.759765909084106,19.08752785240682
amazonecho,app5,14.582761089563423,17.10050704001034,22.89279806201293,22.59258070765536,47.81380573964625,56.956168661200756,17.401597880631,17.369437563386413,17.237258069297386,17.17660932398223
printing,app18,16.147737134751296,17.598207282514004,21.689808120524944,21.960150253357508,43.23137448491465,4.261763708175577,16.981787879985497,17.592983713463983,16.983357907817588,16.94609569311351
amazonecho,app8,15.187905200526577,17.72108592062714,22.522045205122467,22.961676023794876,46.044577114500754,56.75468543235189,16.998563774472846,16.202952774053855,16.811830383611696,17.322874341532103
occupancymanagement,app44,16.573628605008746,17.53569994374105,22.752865117467657,22.304098430844835,3.6215972764371935,4.39387764922423,17.349234877707932,17.995651256075163,17.750478446005925,18.30429816992669
occupancymanagement,app42,15.890937221442936,17.418226426347843,22.504628775044747,22.241773366451277,3.4158954328278317,4.35847480660544,17.52005435641253,17.42355079582408,17.513767795879556,18.353359389714576
occupancymanagement,app43,16.84439984786769,17.65127842958533,23.199653693870054,22.520126971107338,3.9223561103600573,4.447632258260488,17.184298134234385,17.585863722793725,17.508847477189843,17.45719474128223
smartthings,app21,16.09261495216095,17.743780264055705,1.1298806392103318,0.8831293588853876,1.448566939675795,1.5593684514288422,17.094282325965192,16.925987244978415,17.729507262937425,18.245060748361304
bms,app30,17.09438068156319,19.17922078956326,3.5859233178657686,1.8891137479483109,3.646426236765674,3.556244315686518,17.880396381146777,18.192766888670832,18.291467528469436,18.515823764897572
energymanagement,app12,16.078324420322677,17.466439978782766,21.61492663197199,22.330025441765848,45.7055680373606,4.6340171599424345,17.235957145027385,17.164040515190187,17.238899640873633,17.667564506303403
occupancymanagement,app21,16.339397816934046,17.706492005814933,2.359116252166991,1.635581528603263,2.4726277977102993,3.158738198937691,16.823371113593986,17.987703183079027,17.245416798389883,17.712643684123936
amazonecho,app30,16.26545410308975,16.66734281220542,2.10632053006847,1.5756715723494588,1.3221560744263023,2.148658366823959,17.158924144979874,17.115971853483536,17.20927987290834,17.12809296868801
bms,app27,17.188962188604823,19.33618679042418,3.5991036258036164,1.8439116566946885,3.6384643279276556,3.6141333746516606,17.791350944018543,18.212871785053007,18.199184998071182,18.65476154504452
occupancymanagement,app8,16.33875640890543,17.789618021110147,22.5507594708299,23.024374042136667,48.08439848542255,56.995913509682374,17.181428553268244,18.32333911677597,17.598798607662445,18.020678898732438
bms,app2,16.976058605086482,19.402466670200376,23.88265892557953,23.978534855226727,48.43177625765713,57.02585582643527,17.878243274899177,18.218933368096593,18.337440756077953,18.495736923843925
bms,app1,17.072126274276588,19.427701934051335,23.860110362056577,23.83584390909934,48.594490520010304,57.148340992623545,17.83639339694621,18.33366527319099,18.262742521955264,18.632311677798363
videosurveillance,app4,17.414851548731562,20.458738009717653,25.161258612426778,25.506878827123273,50.62499776027892,58.58455817730364,18.55700377400848,18.849960822022087,18.753611699583868,18.90419036152107
occupancymanagement,app5,16.531539407107733,17.331529469268062,22.81618167666358,22.604470758409025,47.113634892256144,56.96057358204952,17.26448665649542,18.30826772728941,17.938083306348073,18.16549135277267
firedetection,app7,17.152841048872855,19.69231456779115,25.149621097138017,25.723157549547636,49.92157865830254,58.46919434500101,18.95543764509503,18.877923565464872,17.78624765890072,18.02929635950577
videosurveillance,app102,18.112120903755326,2.9527709882866295,2.965651455632988,3.1510248589006924,2.958880301469025,2.899477487388384,19.069200428522674,19.36247995832471,19.164206203612906,19.507363971763805
firedetection,app1,17.126262274966045,20.37981719689058,24.65871412756887,25.154722299612672,49.921287768878045,60.035351120902796,18.54373131011789,18.389796165565294,18.36933375904806,17.711953599945648
videosurveillance,app100,18.260243053144087,3.015264163410504,2.918714213336205,3.1509329649432356,2.9601742956023176,2.963664020592841,19.062226368015864,19.34830258163142,19.37286152629916,19.582953322953884
videosurveillance,app101,18.18060737769331,3.016821097933756,2.905979924517906,3.088737463570202,2.912453601194601,2.934203238279851,19.049731829843736,19.32478858128542,19.091818066878957,19.557181289787163
occupancymanagement,app17,16.181762123433998,17.86118477276657,22.78426602826136,22.189293411377264,47.16785381576087,7.28087398270986,17.21375304155345,17.8079302671681,17.731919670568992,18.238621423972898
occupancymanagement,app12,16.05471342425086,17.791140618656584,22.52397072699412,22.5535169863173,46.18790489315896,7.2152717755740285,17.011672164574012,17.62609358914195,17.583718278948464,18.368283832238426
amazonecho,app7,14.414175074796272,16.984599890080766,22.878465154102933,22.154540985385278,47.624321468271816,57.39287881231007,17.418733138262276,16.424398358199422,16.78029821228041,16.948760731992984
bms,app17,17.146857342936094,19.309403250932977,23.849206120836243,23.857096929488456,48.53240640071849,7.521686187364647,17.813790054263556,18.18113297728027,18.284742711304276,18.59287091252884
bms,app12,17.035098178927495,19.485609341071637,23.910774919005977,23.855345741987012,48.27976366072757,7.713337508181744,17.87880210055549,18.17940192062484,18.29123051178541,18.464659444267397
